title                             | views
----------------------------------+--------
 Candidate is jerk, alleges rival | 338647
 Bears love berries, alleges bear | 253801
 Bad things gone, say good people | 170098



          name          | views
------------------------+--------
 Ursula La Multa        | 507594
 Rudolf von Treppenwitz | 423457
 Anonymous Contributor  | 170098
 Markoff Chaney         |  84557


    time    | percentage
------------+------------
 2016-07-17 |        2.3
 2016-07-19 |        0.8
 2016-07-06 |        0.8
 2016-07-08 |        0.8
 2016-07-05 |        0.8
 2016-07-24 |        0.8
 2016-07-21 |        0.8
 2016-07-11 |        0.7
 2016-07-12 |        0.7
 2016-07-13 |        0.7
 2016-07-14 |        0.7
 2016-07-15 |        0.7
 2016-07-16 |        0.7
 2016-07-18 |        0.7
 2016-07-20 |        0.7
 2016-07-22 |        0.7
 2016-07-23 |        0.7
 2016-07-25 |        0.7
 2016-07-26 |        0.7
 2016-07-27 |        0.7
 2016-07-28 |        0.7
 2016-07-29 |        0.7
 2016-07-30 |        0.7
 2016-07-01 |        0.7
 2016-07-31 |        0.7
 2016-07-02 |        0.7
 2016-07-03 |        0.7
 2016-07-04 |        0.7
 2016-07-07 |        0.7
 2016-07-09 |        0.7
 2016-07-10 |        0.7
